date,start_time,end_time
2024-09-02,17:00,23:00
2024-09-03,17:00,22:15
2024-09-04,17:00,22:45
2024-09-05,17:00,22:15
2024-09-06,17:00,22:30
2024-09-07,17:00,23:15
