date,start_time,end_time
2024-07-01,17:15,23:30
2024-07-04,17:45,22:30
2024-07-06,17:00,22:30
2024-07-08,17:45,22:30
2024-07-12,19:30,23:00
2024-07-25,17:00,23:00
2024-07-29,17:00,22:45
2024-07-30,17:00,22:00
